tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
2247048,AppleSupport,False,Sat Nov 25 15:43:00 +0000 2017,@654845 Let us know what type of iPad you have and its iOS version via DM and we'll continue from there: https://t.co/GDrqU22YpT,,2247046.0
2818243,AmericanAir,False,Mon Nov 27 04:47:48 +0000 2017,@460411 We're here if you need us and truly apologize for this experience.,,2818244.0
1661991,506857,True,Mon Nov 06 08:50:22 +0000 2017,@Morrisons Could you please tell me if the Christmas bonus is happening this year?,1661989,
973146,AmazonHelp,False,Sun Oct 22 09:02:00 +0000 2017,"@350798 Hi, here is a link that you can take a look at that will help with dealing with these emails. https://t.co/B2AT69xsOm ^CR",,973147.0
1889052,AldiUK,False,Sun Oct 22 13:35:43 +0000 2017,"@563343 We're sorry to hear this, Bel. If you still have your receipt, you can return the packaging to store and we'll provide a full refund.",,1889053.0
2828241,787699,True,Mon Nov 27 12:18:41 +0000 2017,@LondonMidland Is ‘short formed’ the new way we say ‘tiny’ ?,2828244,2828240.0
1301516,AmericanAir,False,Fri Oct 27 00:02:50 +0000 2017,@424174 Your safety is always our top priority. The current estimated time of departure is 9:08p. We appreciate your patience.,1301517,1301518.0
1973476,DropboxSupport,False,Wed Nov 01 12:24:54 +0000 2017,"@199336 Hi again, Smart Sync is available to Dropbox Professional users and is in Early Access for Dropbox Business. On iOS devices, there... 1/2",,1973477.0
1544951,478513,True,Sat Nov 04 08:06:47 +0000 2017,@AppleSupport thank you!! is this just like a weird bug with the latest iOS update?,,1544950.0
1146473,sainsburys,False,Tue Oct 24 13:55:51 +0000 2017,"@345876 .. from the link please: https://t.co/e5RuL1lGqx. Thanks, Karen 2/2",,1146474.0
549320,247919,True,Sat Dec 02 18:22:14 +0000 2017,"@115830 Bought a Sony Bravia 43"" on Cyber Monday and it arrived with a broken bezel clip. I requested a replacement and I have to pay shipping for something that arrived broken?! https://t.co/a66tw7RxTH",549319,
1308477,119274,True,Thu Oct 26 10:32:00 +0000 2017,"@hulu_support Is there anOption to BlOCKHollywoodOaks,TheYoung Turks&amp;Other Nonsense that AUTOMATICALLY streams? OnlyWatchlist should stream😟",1308476,
2068252,546930,True,Sun Oct 08 15:00:51 +0000 2017,@Uber_Support can I dm you? Had an issue with a driver this morning,2068251,
774859,424197,True,Wed Oct 11 20:43:56 +0000 2017,@118159 Con el  peor servicio da igual traer un flip phone sprint es basura,1780483,774858.0
2532493,AmazonHelp,False,Mon Oct 30 12:13:32 +0000 2017,"@531345 I'm sorry for the poor delivery experiences! For clarification, are you seeing recurring issues with a certain carrier? ^KN",,2532494.0
841668,ATVIAssist,False,Fri Oct 20 13:36:01 +0000 2017,"@309252 Hey. Please try clearing your cache: https://t.co/8flXKTmw8y, fully complete a few matches then keep me updated. ^SM",841669,841670.0
2975523,379734,True,Thu Nov 16 10:58:11 +0000 2017,@AppleSupport Sent!,,2975522.0
1269272,VerizonSupport,False,Thu Oct 26 13:58:00 +0000 2017,"@417195 Once you get the service backup and working and the tech comes out we can help and check this out for you.  
^ADP",,1269273.0
1472806,AppleSupport,False,Fri Nov 03 01:18:00 +0000 2017,@461863 We're here to help. Please DM us which iOS software version you are using and we'll go from there. https://t.co/GDrqU22YpT,,1472807.0
987439,Ask_Spectrum,False,Sat Oct 14 10:33:25 +0000 2017,@353978 I'll be happy to help you with your internet service. Would you mind sending us a DM with your account number? -CP,"987440,987441,987442",987443.0
461880,ChaseSupport,False,Fri Dec 01 01:30:56 +0000 2017,"@224748 Hi, I'm sorry to hear about the wait you've experience, and I'd like to see how we can help. Can you please DM your full name and zip code? ^JR https://t.co/znUu1VJn9r",,461881.0
1886385,AldiUK,False,Mon Oct 23 12:10:27 +0000 2017,"@562621 Hi Lauren, we're sorry to see this. Please DM us with your contact details and store you bought it from so we can look into this. Thanks.",1886386,1886387.0
1045273,153746,True,Thu Oct 12 17:41:35 +0000 2017,"@123127 the keyboard and trackpad suddenly stop working for a few seconds on my Book, wtf.",1045264,
